family,n_per_state,seed,k,model_contains,certified,accepted,advantage_accept,value_accept,false_accept,false_nearopt,updates,backups,bound,proposal_value,old_value,accepted_value,baseline,matched,gap,value_lower_difference,min_advantage,cumulative_backups,cumulative_menu_pairs,cumulative_gate_policy_evaluations,plugin_improvement,plugin_harm
fork1,200,0,2,True,False,False,False,False,False,False,2,3,0.224659446207,0.1919,0.11,0.11,0.11,0.1919,0,-0.0969825996571,-0.00968758591968,3,6,2,0.0864,False
fork1,200,0,8,True,False,True,False,True,False,False,2,3,0.736779535914,0.569532786305,0.11,0.569532786305,0.11,0.569532786305,0,0.162847803093,-0.0563834917481,6,12,4,0.454532786805,False
fork1,200,0,32,True,False,True,False,True,False,False,2,3,1.17419637732,0.965663161797,0.569532786305,0.965663161797,0.11,0.965663161797,0,0.0121111003549,-4.41848573528e-09,9,18,6,0.850663161797,False
fork1,200,1,2,True,False,False,False,False,False,False,2,3,0.232718786948,0.1919,0.11,0.11,0.11,0.1919,0,-0.0956999379422,-0.0115722013258,3,6,2,0.0819,False
fork1,200,1,8,True,False,True,False,True,False,False,2,3,0.70532658423,0.569532786305,0.11,0.569532786305,0.11,0.569532786305,0,0.168109097123,-0.0511221980354,6,12,4,0.459532786305,False
fork1,200,1,32,True,False,True,False,True,False,False,2,3,1.12086677482,0.965663161797,0.569532786305,0.965663161797,0.11,0.965663161797,0,0.012111100881,-3.8923563114e-09,9,18,6,0.855663161797,False
fork1,200,2,2,True,False,False,False,False,False,False,2,3,0.232718786948,0.1919,0.11,0.11,0.11,0.1919,0,-0.0956999379422,-0.0115722013258,3,6,2,0.0819,False
fork1,200,2,8,True,False,True,False,True,False,False,2,3,0.70532658423,0.569532786305,0.11,0.569532786305,0.11,0.569532786305,0,0.168109097123,-0.0511221980354,6,12,4,0.459532786305,False
fork1,200,2,32,True,False,True,False,True,False,False,2,3,1.12086677482,0.965663161797,0.569532786305,0.965663161797,0.11,0.965663161797,0,0.012111100881,-3.8923563114e-09,9,18,6,0.855663161797,False
fork1,200,3,2,True,False,False,False,False,False,False,2,3,0.224884173327,0.1901,0.11,0.11,0.11,0.1919,0.0018,-0.0736323189056,-0.0409013294278,3,6,2,0.0846,False
fork1,200,3,8,True,False,True,False,True,False,False,2,3,0.669146654877,0.569532786305,0.11,0.569532786305,0.11,0.569532786305,0,0.173785378519,-0.0454459170418,6,12,4,0.464532785805,False
fork1,200,3,32,True,False,True,False,True,False,False,2,3,1.05952241291,0.965663161797,0.569532786305,0.965663161797,0.11,0.965663161797,0,0.0121111014487,-3.32472815528e-09,9,18,6,0.860663161797,False
fork1,200,4,2,True,False,False,False,False,False,False,2,3,0.195278328404,0.1901,0.11,0.11,0.11,0.1919,0.0018,-0.0605560116828,-0.028999868197,3,6,2,0.0936,False
fork1,200,4,8,True,False,True,False,True,False,False,2,3,0.575471659525,0.569532786305,0.11,0.569532786305,0.11,0.569532786305,0,0.187009224184,-0.0322220725522,6,12,4,0.474532784805,False
fork1,200,4,32,True,False,True,False,True,False,False,2,3,0.900693113934,0.965663161797,0.569532786305,0.965663161797,0.11,0.965663161797,0,0.012111102771,-2.00234357408e-09,9,18,6,0.870663161797,False
fork1,200,5,2,True,False,False,False,False,False,False,2,3,0.224659446207,0.1919,0.11,0.11,0.11,0.1919,0,-0.0969825996571,-0.00968758591968,3,6,2,0.0864,False
