k,loss,formula
1,0,0
2,0.222222222222,0.222222222222
3,0.222222222222,0.222222222222
4,0.172839506173,0.172839506173
5,0.123456790123,0.123456790123
6,0.0850480109739,0.0850480109739
7,0.0576131687243,0.0576131687243
8,0.0387136107301,0.0387136107301
9,0.0259106843469,0.0259106843469
10,0.0173076597402,0.0173076597402
11,0.0115497298853,0.0115497298853
12,0.00770358327641,0.00770358327641
13,0.00513697663522,0.00513697663522
14,0.00342506924047,0.00342506924047
15,0.00228351887708,0.00228351887708
16,0.0015223923792,0.0015223923792
17,0.00101494373985,0.00101494373985
18,0.000676634322249,0.000676634322249
19,0.000451091268949,0.000451091268949
20,0.000300728086227,0.000300728086227
21,0.000200485582016,0.000200485582016
22,0.00013365711841,0.00013365711841
23,8.91047668511e-05,8.91047668511e-05
24,5.94031849821e-05,5.94031849821e-05
25,3.96021256819e-05,3.96021256819e-05
26,2.64014179081e-05,2.64014179081e-05
27,1.76009455343e-05,1.76009455343e-05
28,1.1733963777e-05,1.1733963777e-05
29,7.82264254713e-06,7.82264254713e-06
30,5.21509504113e-06,5.21509504113e-06
31,3.47673003066e-06,3.47673003066e-06
32,2.31782002152e-06,2.31782002152e-06
33,1.54521334804e-06,1.54521334804e-06
34,1.03014223215e-06,1.03014223215e-06
35,6.86761488137e-07,6.86761488137e-07
36,4.57840992105e-07,4.57840992105e-07
37,3.05227328074e-07,3.05227328074e-07
38,2.03484885384e-07,2.03484885384e-07
39,1.35656590257e-07,1.35656590257e-07
40,9.0437726838e-08,9.0437726838e-08
41,6.02918178921e-08,6.02918178921e-08
42,4.01945452614e-08,4.01945452614e-08
43,2.67963635076e-08,2.67963635076e-08
44,1.78642423384e-08,1.78642423384e-08
45,1.19094948923e-08,1.19094948923e-08
46,7.93966326151e-09,7.93966326151e-09
47,5.29310884101e-09,5.29310884101e-09
48,3.52873922734e-09,3.52873922734e-09
49,2.35249281823e-09,2.35249281823e-09
50,1.56832854548e-09,1.56832854548e-09
51,1.04555236366e-09,1.04555236366e-09
52,6.97034909104e-10,6.97034909104e-10
53,4.64689939403e-10,4.64689939403e-10
54,3.09793292935e-10,3.09793292935e-10
55,2.06528861957e-10,2.06528861957e-10
56,1.37685907971e-10,1.37685907971e-10
57,9.17906053141e-11,9.17906053141e-11
58,6.11937368761e-11,6.11937368761e-11
59,4.0795824584e-11,4.0795824584e-11
60,2.71972163894e-11,2.71972163894e-11
61,1.81314775929e-11,1.81314775929e-11
62,1.20876517286e-11,1.20876517286e-11
63,8.05843448574e-12,8.05843448574e-12
64,5.37228965716e-12,5.37228965716e-12
