delta,n,k,bayes_error,regret,pinsker_lower,constant_regime
0.025,4,32,0.46253125,0.0115632812446,0.0112494784876,True
0.025,16,1,0.42190391947,0,0,True
0.025,16,2,0.42190391947,0.00527379899338,0.00499947849281,True
0.025,16,4,0.42190391947,0.00922914823841,0.00874908736241,True
0.025,16,8,0.42190391947,0.0104651948775,0.00992084013416,True
0.025,16,32,0.42190391947,0.0105475979818,0.00999895698096,True
0.025,64,1,0.34506070741,0,0,False
0.025,64,2,0.34506070741,0.00431325884263,0.00374895698561,False
0.025,64,4,0.34506070741,0.0075482029746,0.00656067472482,False
0.025,64,8,0.34506070741,0.00855912301584,0.00743933651833,False
0.025,64,32,0.34506070741,0.00862651768124,0.00749791396774,False
0.025,256,1,0.211936670215,0,0,False
0.025,256,2,0.211936670215,0.00264920837769,0.00124791397123,False
0.025,256,4,0.211936670215,0.00463611466096,0.00218384944965,False
0.025,256,8,0.211936670215,0.00525702287448,0.00247632928665,False
0.025,256,32,0.211936670215,0.00529841675292,0.00249582794129,False
0.025,1024,1,0.0547315947087,0,0,False
0.025,1024,2,0.0547315947087,0.000684144933859,0,False
0.025,1024,4,0.0547315947087,0.00119725363425,0,False
0.025,1024,8,0.0547315947087,0.00135760010313,0,False
0.025,1024,32,0.0547315947087,0.00136828986708,0,False
0.025,4096,1,0.000682841554205,0,0,False
0.025,4096,2,0.000682841554205,8.53551942757e-06,0,False
0.025,4096,4,0.000682841554205,1.49371589982e-05,0,False
0.025,4096,8,0.000682841554205,1.69376713641e-05,0,False
0.025,4096,32,0.000682841554205,1.70710388472e-05,0,False
0.05,1,1,0.45,0,0,True
0.05,1,2,0.45,0.01125,0.0112479058309,True
0.05,1,4,0.45,0.0196875,0.0196838352041,True
0.05,1,8,0.45,0.02232421875,0.0223200631332,True
0.05,1,32,0.45,0.0224999999895,0.0224958116513,True
0.05,4,1,0.42525,0,0,True
0.05,4,2,0.42525,0.01063125,0.0099958116618,True
0.05,4,4,0.42525,0.0186046875,0.0174926704081,True
0.05,4,8,0.42525,0.0210963867188,0.0198354387664,True
0.05,4,32,0.42525,0.0212624999901,0.0199916233143,True
0.05,16,1,0.346496074853,0,0,False
0.05,16,2,0.346496074853,0.00866240187132,0.00749162332359,False
0.05,16,4,0.346496074853,0.0151592032748,0.0131103408163,False
0.05,16,8,0.346496074853,0.0171894537134,0.0148661900328,False
0.05,16,32,0.346496074853,0.0173248037346,0.0149832466402,False
0.05,64,1,0.212177991029,0,0,False
0.05,64,2,0.212177991029,0.00530444977573,0.00248324664719,False
0.05,64,4,0.212177991029,0.00928278710753,0.00434568163258,False
0.05,64,8,0.212177991029,0.0105260175237,0.00492769256551,False
0.05,64,32,0.212177991029,0.0106088995465,0.00496649329206,False
0.05,256,1,0.0545272427826,0,0,False
0.05,256,2,0.0545272427826,0.00136318106957,0,False
0.05,256,4,0.0545272427826,0.00238556687174,0,False
0.05,256,8,0.0545272427826,0.00270506243492,0,False
0.05,256,32,0.0545272427826,0.00272636213786,0,False
0.05,1024,1,0.000670026400111,0,0,False
0.05,1024,2,0.000670026400111,1.67506600028e-05,0,False
0.05,1024,4,0.000670026400111,2.93136550048e-05,0,False
0.05,1024,8,0.000670026400111,3.3239590943e-05,0,False
0.05,1024,32,0.000670026400111,3.35013199899e-05,0,False
0.05,4096,1,7.00904713623e-11,0,0,False
0.05,4096,2,7.00904713623e-11,1.75226178406e-12,0,False
0.05,4096,4,7.00904713623e-11,3.0664581221e-12,0,False
0.05,4096,8,7.00904713623e-11,3.47714447774e-12,0,False
0.05,4096,32,7.00904713623e-11,3.50452356648e-12,0,False
0.1,1,1,0.4,0,0,True
0.1,1,2,0.4,0.02,0.0199659589536,True
0.1,1,4,0.4,0.035,0.0349404281688,True
0.1,1,8,0.4,0.0396875,0.0396199497986,True
0.1,1,32,0.4,0.0399999999814,0.0399319178886,True
0.1,4,1,0.352,0,0,False
0.1,4,2,0.352,0.0176,0.0149319179072,False
0.1,4,4,0.352,0.0308,0.0261308563376,False
0.1,4,8,0.352,0.034925,0.0296305245971,False
0.1,4,32,0.352,0.0351999999836,0.0298638358005,False
0.1,16,1,0.21310318261,0,0,False
0.1,16,2,0.21310318261,0.0106551591305,0.00486383581443,False
0.1,16,4,0.21310318261,0.0186465284784,0.00851171267526,False
0.1,16,8,0.21310318261,0.0211438313996,0.00965167419426,False
0.1,16,32,0.21310318261,0.0213103182511,0.00972767162433,False
0.1,64,1,0.053690575376,0,0,False
0.1,64,2,0.053690575376,0.0026845287688,0,False
0.1,64,4,0.053690575376,0.0046979253454,0,False
0.1,64,8,0.053690575376,0.00532711177558,0,False
0.1,64,32,0.053690575376,0.0053690575351,0,False
0.1,256,1,0.000619887128247,0,0,False
0.1,256,2,0.000619887128247,3.09943564124e-05,0,False
0.1,256,4,0.000619887128247,5.42401237216e-05,0,False
0.1,256,8,0.000619887128247,6.15044260058e-05,0,False
0.1,256,32,0.000619887128247,6.19887127958e-05,0,False
0.1,1024,1,5.10352715062e-11,0,0,False
0.1,1024,2,5.10352715062e-11,2.55176357531e-12,0,False
0.1,1024,4,5.10352715062e-11,4.46558625679e-12,0,False
0.1,1024,8,5.10352715062e-11,5.06365584476e-12,0,False
0.1,1024,32,5.10352715062e-11,5.10352714824e-12,0,False
0.1,4096,1,1.52283057475e-38,0,0,False
0.1,4096,2,1.52283057475e-38,7.61415287373e-40,0,False
0.1,4096,4,1.52283057475e-38,1.3324767529e-39,0,False
0.1,4096,8,1.52283057475e-38,1.51093346088e-39,0,False
0.1,4096,32,1.52283057475e-38,1.52283057404e-39,0,False
0.2,1,1,0.3,0,0,False
0.2,1,2,0.3,0.03,0.0294172662119,False
0.2,1,4,0.3,0.0525,0.0514802158707,False
0.2,1,8,0.3,0.05953125,0.0583748876392,False
0.2,1,32,0.3,0.0599999999721,0.0588345323963,False
0.2,4,1,0.216,0,0,False
0.2,4,2,0.216,0.0216,0.00883453242371,False
0.2,4,4,0.216,0.0378,0.0154604317415,False
0.2,4,8,0.216,0.0428625,0.0175310252783,False
0.2,4,32,0.216,0.0431999999799,0.0176690648392,False
0.2,16,1,0.0500125400538,0,0,False
0.2,16,2,0.0500125400538,0.00500125400538,0,False
0.2,16,4,0.0500125400538,0.00875219450941,0,False
0.2,16,8,0.0500125400538,0.00992436341692,0,False
0.2,16,32,0.0500125400538,0.0100025080061,0,False
0.2,64,1,0.000437957612485,0,0,False
0.2,64,2,0.000437957612485,4.37957612485e-05,0,False
0.2,64,4,0.000437957612485,7.66425821849e-05,0,False
0.2,64,8,0.000437957612485,8.69072137276e-05,0,False
0.2,64,32,0.000437957612485,8.75915224563e-05,0,False
0.2,256,1,1.24057772482e-11,0,0,False
0.2,256,2,1.24057772482e-11,1.24057772482e-12,0,False
0.2,256,4,1.24057772482e-11,2.17101101844e-12,0,False
0.2,256,8,1.24057772482e-11,2.4617714227e-12,0,False
0.2,256,32,1.24057772482e-11,2.48115544849e-12,0,False
0.2,1024,1,5.27708315231e-41,0,0,False
0.2,1024,2,5.27708315231e-41,5.27708315231e-42,0,False
0.2,1024,4,5.27708315231e-41,9.23489551654e-42,0,False
0.2,1024,8,5.27708315231e-41,1.04717118804e-41,0,False
0.2,1024,32,5.27708315231e-41,1.05541662997e-41,0,False
0.2,4096,1,1.30637192233e-157,0,0,False
0.2,4096,2,1.30637192233e-157,1.30637192233e-158,0,False
0.2,4096,4,1.30637192233e-157,2.28615086408e-158,0,False
0.2,4096,8,1.30637192233e-157,2.59233178337e-158,0,False
0.2,4096,32,1.30637192233e-157,2.61274384344e-158,0,False
