delta,n,k,bayes_error,regret,pinsker_lower,constant_regime
0.01,1,1,0.49,0,0,True
0.01,1,2,0.49,0.00245,0.00244999666598,True
0.01,1,4,0.49,0.0042875,0.00428749416546,True
0.01,1,8,0.49,0.00486171875,0.00486171213405,True
0.01,1,32,0.49,0.00489999999772,0.00489999332967,True
0.01,4,1,0.485002,0,0,True
0.01,4,2,0.485002,0.00242501,0.00239999333196,True
0.01,4,4,0.485002,0.0042437675,0.00419998833092,True
0.01,4,8,0.485002,0.00481212921875,0.0047624867681,True
0.01,4,32,0.485002,0.00485001999774,0.00479998666168,True
0.01,16,1,0.46860840663,0,0,True
0.01,16,2,0.46860840663,0.00234304203315,0.00229998666391,True
0.01,16,4,0.46860840663,0.00410032355801,0.00402497666184,True
0.01,16,8,0.46860840663,0.00464947403453,0.0045640360362,True
0.01,16,32,0.46860840663,0.00468608406411,0.00459997332568,True
0.01,64,1,0.436679939389,0,0,True
0.01,64,2,0.436679939389,0.00218339969694,0.00209997332782,True
0.01,64,4,0.436679939389,0.00382094946965,0.00367495332369,True
0.01,64,8,0.436679939389,0.00433268377362,0.00416713457239,True
0.01,64,32,0.436679939389,0.00436679939186,0.00419994665369,True
0.01,256,1,0.374590435247,0,0,True
0.01,256,2,0.374590435247,0.00187295217623,0.00169994665564,True
0.01,256,4,0.374590435247,0.00327766630841,0.00297490664737,True
0.01,256,8,0.374590435247,0.00371663947471,0.00337333164479,True
0.01,256,32,0.374590435247,0.00374590435072,0.0033998933097,True
0.01,1024,1,0.261116280241,0,0,False
0.01,1024,2,0.261116280241,0.0013055814012,0.000899893311283,False
0.01,1024,4,0.261116280241,0.00228476745211,0.00157481329475,False
0.01,1024,8,0.261116280241,0.00259076309301,0.00178572578958,False
0.01,1024,32,0.261116280241,0.00261116280119,0.00179978662173,False
0.01,4096,1,0.100263793463,0,0,False
0.01,4096,2,0.100263793463,0.000501318967313,0,False
0.01,4096,4,0.100263793463,0.000877308192797,0,False
0.01,4096,8,0.100263793463,0.000994804825761,0,False
0.01,4096,32,0.100263793463,0.00100263793416,0,False
0.025,1,1,0.475,0,0,True
0.025,1,2,0.475,0.0059375,0.0059373696232,True
0.025,1,4,0.475,0.010390625,0.0103903968406,True
0.025,1,8,0.475,0.0117822265625,0.011781967846,True
0.025,1,32,0.475,0.0118749999945,0.0118747392409,True
0.025,4,1,0.46253125,0,0,True
0.025,4,2,0.46253125,0.005781640625,0.0056247392464,True
0.025,4,4,0.46253125,0.0101178710938,0.00984329368121,True
0.025,4,8,0.46253125,0.0114729431152,0.0111615919421,True
