family,n_per_state,seed,samples,min_count,model_contains
fork1,200,0,400,20,True
fork1,200,1,400,20,True
fork1,200,2,400,20,True
fork1,200,3,400,20,True
fork1,200,4,400,20,True
fork1,200,5,400,20,True
fork1,200,6,400,20,True
fork1,200,7,400,20,True
fork1,200,8,400,20,True
fork1,200,9,400,20,True
fork1,200,10,400,20,True
fork1,200,11,400,20,True
fork1,200,12,400,20,True
fork1,200,13,400,20,True
fork1,200,14,400,20,True
fork1,200,15,400,20,True
fork1,200,16,400,20,True
fork1,200,17,400,20,True
fork1,200,18,400,20,True
fork1,200,19,400,20,True
fork1,200,20,400,20,True
fork1,200,21,400,20,True
fork1,200,22,400,20,True
fork1,200,23,400,20,True
fork1,200,24,400,20,True
fork1,200,25,400,20,True
fork1,200,26,400,20,True
fork1,200,27,400,20,True
fork1,200,28,400,20,True
fork1,200,29,400,20,True
fork1,2000,0,4000,200,True
fork1,2000,1,4000,200,True
fork1,2000,2,4000,200,True
fork1,2000,3,4000,200,True
fork1,2000,4,4000,200,True
fork1,2000,5,4000,200,True
fork1,2000,6,4000,200,True
fork1,2000,7,4000,200,True
fork1,2000,8,4000,200,True
fork1,2000,9,4000,200,True
fork1,2000,10,4000,200,True
fork1,2000,11,4000,200,True
fork1,2000,12,4000,200,True
fork1,2000,13,4000,200,True
fork1,2000,14,4000,200,True
fork1,2000,15,4000,200,True
fork1,2000,16,4000,200,True
fork1,2000,17,4000,200,True
fork1,2000,18,4000,200,True
fork1,2000,19,4000,200,True
fork1,2000,20,4000,200,True
fork1,2000,21,4000,200,True
fork1,2000,22,4000,200,True
fork1,2000,23,4000,200,True
fork1,2000,24,4000,200,True
fork1,2000,25,4000,200,True
fork1,2000,26,4000,200,True
fork1,2000,27,4000,200,True
fork1,2000,28,4000,200,True
fork1,2000,29,4000,200,True
fork1,20000,0,40000,2000,True
fork1,20000,1,40000,2000,True
fork1,20000,2,40000,2000,True
fork1,20000,3,40000,2000,True
fork1,20000,4,40000,2000,True
fork1,20000,5,40000,2000,True
fork1,20000,6,40000,2000,True
fork1,20000,7,40000,2000,True
fork1,20000,8,40000,2000,True
fork1,20000,9,40000,2000,True
fork1,20000,10,40000,2000,True
fork1,20000,11,40000,2000,True
fork1,20000,12,40000,2000,True
fork1,20000,13,40000,2000,True
fork1,20000,14,40000,2000,True
fork1,20000,15,40000,2000,True
fork1,20000,16,40000,2000,True
fork1,20000,17,40000,2000,True
fork1,20000,18,40000,2000,True
fork1,20000,19,40000,2000,True
fork1,20000,20,40000,2000,True
fork1,20000,21,40000,2000,True
fork1,20000,22,40000,2000,True
fork1,20000,23,40000,2000,True
fork1,20000,24,40000,2000,True
fork1,20000,25,40000,2000,True
fork1,20000,26,40000,2000,True
fork1,20000,27,40000,2000,True
fork1,20000,28,40000,2000,True
fork1,20000,29,40000,2000,True
fork1,200000,0,400000,20000,True
fork1,200000,1,400000,20000,True
fork1,200000,2,400000,20000,True
fork1,200000,3,400000,20000,True
fork1,200000,4,400000,20000,True
fork1,200000,5,400000,20000,True
fork1,200000,6,400000,20000,True
fork1,200000,7,400000,20000,True
fork1,200000,8,400000,20000,True
fork1,200000,9,400000,20000,True
fork1,200000,10,400000,20000,True
fork1,200000,11,400000,20000,True
fork1,200000,12,400000,20000,True
fork1,200000,13,400000,20000,True
fork1,200000,14,400000,20000,True
fork1,200000,15,400000,20000,True
fork1,200000,16,400000,20000,True
fork1,200000,17,400000,20000,True
fork1,200000,18,400000,20000,True
fork1,200000,19,400000,20000,True
fork1,200000,20,400000,20000,True
fork1,200000,21,400000,20000,True
fork1,200000,22,400000,20000,True
fork1,200000,23,400000,20000,True
fork1,200000,24,400000,20000,True
fork1,200000,25,400000,20000,True
fork1,200000,26,400000,20000,True
fork1,200000,27,400000,20000,True
fork1,200000,28,400000,20000,True
fork1,200000,29,400000,20000,True
fork4,200,0,1000,0,True
fork4,200,1,1000,0,True
fork4,200,2,1000,0,True
fork4,200,3,1000,0,True
fork4,200,4,1000,0,True
fork4,200,5,1000,0,True
fork4,200,6,1000,0,True
fork4,200,7,1000,0,True
fork4,200,8,1000,0,True
fork4,200,9,1000,0,True
fork4,200,10,1000,0,True
fork4,200,11,1000,0,True
fork4,200,12,1000,0,True
fork4,200,13,1000,0,True
fork4,200,14,1000,0,True
fork4,200,15,1000,0,True
fork4,200,16,1000,0,True
fork4,200,17,1000,0,True
fork4,200,18,1000,0,True
fork4,200,19,1000,0,True
fork4,200,20,1000,0,True
fork4,200,21,1000,0,True
fork4,200,22,1000,0,True
fork4,200,23,1000,0,True
fork4,200,24,1000,0,True
fork4,200,25,1000,0,True
fork4,200,26,1000,0,True
fork4,200,27,1000,0,True
fork4,200,28,1000,0,True
fork4,200,29,1000,0,True
fork4,2000,0,10000,0,True
fork4,2000,1,10000,0,True
fork4,2000,2,10000,0,True
fork4,2000,3,10000,0,True
fork4,2000,4,10000,0,True
fork4,2000,5,10000,0,True
fork4,2000,6,10000,0,True
fork4,2000,7,10000,0,True
fork4,2000,8,10000,0,True
fork4,2000,9,10000,0,True
fork4,2000,10,10000,0,True
fork4,2000,11,10000,0,True
fork4,2000,12,10000,0,True
fork4,2000,13,10000,0,True
fork4,2000,14,10000,0,True
fork4,2000,15,10000,0,True
fork4,2000,16,10000,0,True
fork4,2000,17,10000,0,True
fork4,2000,18,10000,0,True
fork4,2000,19,10000,0,True
fork4,2000,20,10000,0,True
fork4,2000,21,10000,0,True
fork4,2000,22,10000,0,True
fork4,2000,23,10000,0,True
fork4,2000,24,10000,0,True
fork4,2000,25,10000,0,True
fork4,2000,26,10000,0,True
fork4,2000,27,10000,0,True
fork4,2000,28,10000,0,True
fork4,2000,29,10000,0,True
fork4,20000,0,100000,0,True
fork4,20000,1,100000,0,True
fork4,20000,2,100000,0,True
fork4,20000,3,100000,0,True
fork4,20000,4,100000,0,True
fork4,20000,5,100000,0,True
fork4,20000,6,100000,0,True
fork4,20000,7,100000,0,True
fork4,20000,8,100000,0,True
fork4,20000,9,100000,0,True
fork4,20000,10,100000,0,True
fork4,20000,11,100000,0,True
fork4,20000,12,100000,0,True
fork4,20000,13,100000,0,True
fork4,20000,14,100000,0,True
fork4,20000,15,100000,0,True
fork4,20000,16,100000,0,True
fork4,20000,17,100000,0,True
fork4,20000,18,100000,0,True
fork4,20000,19,100000,0,True
fork4,20000,20,100000,0,True
fork4,20000,21,100000,0,True
fork4,20000,22,100000,0,True
fork4,20000,23,100000,0,True
fork4,20000,24,100000,0,True
fork4,20000,25,100000,0,True
fork4,20000,26,100000,0,True
fork4,20000,27,100000,0,True
fork4,20000,28,100000,0,True
fork4,20000,29,100000,0,True
fork4,200000,0,1000000,0,True
fork4,200000,1,1000000,0,True
fork4,200000,2,1000000,0,True
fork4,200000,3,1000000,0,True
fork4,200000,4,1000000,0,True
fork4,200000,5,1000000,0,True
fork4,200000,6,1000000,0,True
fork4,200000,7,1000000,0,True
fork4,200000,8,1000000,0,True
fork4,200000,9,1000000,0,True
fork4,200000,10,1000000,0,True
fork4,200000,11,1000000,0,True
fork4,200000,12,1000000,0,True
fork4,200000,13,1000000,0,True
fork4,200000,14,1000000,0,True
fork4,200000,15,1000000,0,True
fork4,200000,16,1000000,0,True
fork4,200000,17,1000000,0,True
fork4,200000,18,1000000,0,True
fork4,200000,19,1000000,0,True
fork4,200000,20,1000000,0,True
fork4,200000,21,1000000,0,True
fork4,200000,22,1000000,0,True
fork4,200000,23,1000000,0,True
fork4,200000,24,1000000,0,True
fork4,200000,25,1000000,0,True
fork4,200000,26,1000000,0,True
fork4,200000,27,1000000,0,True
fork4,200000,28,1000000,0,True
fork4,200000,29,1000000,0,True
stochastic3,200,0,1191,2,True
stochastic3,200,1,1189,2,True
stochastic3,200,2,1189,2,True
stochastic3,200,3,1190,2,True
stochastic3,200,4,1185,2,True
stochastic3,200,5,1190,2,True
stochastic3,200,6,1190,2,True
stochastic3,200,7,1193,2,True
stochastic3,200,8,1190,2,True
stochastic3,200,9,1190,2,True
stochastic3,200,10,1190,2,True
stochastic3,200,11,1190,2,True
stochastic3,200,12,1191,2,True
stochastic3,200,13,1187,2,True
stochastic3,200,14,1189,2,True
stochastic3,200,15,1187,2,True
stochastic3,200,16,1188,2,True
stochastic3,200,17,1189,2,True
stochastic3,200,18,1189,2,True
stochastic3,200,19,1188,2,True
stochastic3,200,20,1189,2,True
stochastic3,200,21,1188,2,True
stochastic3,200,22,1187,2,True
stochastic3,200,23,1189,2,True
stochastic3,200,24,1189,2,True
stochastic3,200,25,1190,2,True
stochastic3,200,26,1187,2,True
stochastic3,200,27,1189,2,True
stochastic3,200,28,1189,2,True
stochastic3,200,29,1189,2,True
stochastic3,2000,0,11987,21,True
stochastic3,2000,1,11991,20,True
stochastic3,2000,2,11989,20,True
stochastic3,2000,3,11989,20,True
stochastic3,2000,4,11987,22,True
stochastic3,2000,5,11988,20,True
stochastic3,2000,6,11989,20,True
stochastic3,2000,7,11988,20,True
stochastic3,2000,8,11990,20,True
stochastic3,2000,9,11986,20,True
stochastic3,2000,10,11989,20,True
stochastic3,2000,11,11990,20,True
stochastic3,2000,12,11988,20,True
stochastic3,2000,13,11990,24,False
stochastic3,2000,14,11988,20,True
stochastic3,2000,15,11987,20,True
stochastic3,2000,16,11985,20,True
stochastic3,2000,17,11988,20,True
stochastic3,2000,18,11989,20,True
stochastic3,2000,19,11987,20,True
stochastic3,2000,20,11989,20,True
stochastic3,2000,21,11989,20,True
stochastic3,2000,22,11989,23,True
stochastic3,2000,23,11990,20,True
stochastic3,2000,24,11989,20,True
stochastic3,2000,25,11985,20,True
stochastic3,2000,26,11987,21,True
stochastic3,2000,27,11988,20,True
stochastic3,2000,28,11988,20,True
stochastic3,2000,29,11986,20,True
stochastic3,20000,0,119990,217,True
stochastic3,20000,1,119989,201,True
stochastic3,20000,2,119986,201,True
stochastic3,20000,3,119986,201,True
stochastic3,20000,4,119988,226,True
stochastic3,20000,5,119989,200,True
stochastic3,20000,6,119988,200,True
stochastic3,20000,7,119990,200,True
stochastic3,20000,8,119988,203,True
stochastic3,20000,9,119990,200,True
stochastic3,20000,10,119988,204,True
stochastic3,20000,11,119984,200,True
stochastic3,20000,12,119988,200,True
stochastic3,20000,13,119987,244,True
stochastic3,20000,14,119988,200,True
stochastic3,20000,15,119988,203,True
stochastic3,20000,16,119986,205,True
stochastic3,20000,17,119987,200,True
stochastic3,20000,18,119987,200,True
stochastic3,20000,19,119986,200,True
stochastic3,20000,20,119988,201,True
stochastic3,20000,21,119989,202,True
stochastic3,20000,22,119988,234,True
stochastic3,20000,23,119987,200,True
stochastic3,20000,24,119990,200,True
stochastic3,20000,25,119985,205,True
stochastic3,20000,26,119987,216,True
stochastic3,20000,27,119987,200,True
stochastic3,20000,28,119988,200,True
stochastic3,20000,29,119988,200,True
stochastic3,200000,0,1199987,2170,True
stochastic3,200000,1,1199993,2011,True
stochastic3,200000,2,1199988,2018,True
stochastic3,200000,3,1199986,2013,True
stochastic3,200000,4,1199987,2265,True
stochastic3,200000,5,1199989,2000,True
stochastic3,200000,6,1199988,2001,True
stochastic3,200000,7,1199990,2000,True
stochastic3,200000,8,1199990,2036,True
stochastic3,200000,9,1199986,2003,True
stochastic3,200000,10,1199987,2046,True
stochastic3,200000,11,1199989,2000,True
stochastic3,200000,12,1199987,2000,True
stochastic3,200000,13,1199989,2449,True
stochastic3,200000,14,1199987,2003,True
stochastic3,200000,15,1199987,2038,True
stochastic3,200000,16,1199987,2050,True
stochastic3,200000,17,1199989,2003,True
stochastic3,200000,18,1199990,2004,True
stochastic3,200000,19,1199989,2008,True
stochastic3,200000,20,1199989,2013,True
stochastic3,200000,21,1199989,2020,True
stochastic3,200000,22,1199988,2341,True
stochastic3,200000,23,1199991,2000,True
stochastic3,200000,24,1199988,2000,True
stochastic3,200000,25,1199986,2054,True
stochastic3,200000,26,1199987,2163,True
stochastic3,200000,27,1199987,2002,True
stochastic3,200000,28,1199986,2000,True
stochastic3,200000,29,1199987,2000,True
stochastic5,200,0,1965,1,True
stochastic5,200,1,1965,1,True
stochastic5,200,2,1966,1,True
stochastic5,200,3,1972,1,True
stochastic5,200,4,1966,1,True
stochastic5,200,5,1973,1,True
stochastic5,200,6,1967,1,True
stochastic5,200,7,1970,1,True
stochastic5,200,8,1967,1,True
stochastic5,200,9,1967,1,True
stochastic5,200,10,1967,1,True
stochastic5,200,11,1965,1,True
stochastic5,200,12,1971,1,True
stochastic5,200,13,1962,1,True
stochastic5,200,14,1966,1,True
stochastic5,200,15,1964,1,True
stochastic5,200,16,1968,1,True
stochastic5,200,17,1966,1,True
stochastic5,200,18,1973,1,True
stochastic5,200,19,1966,1,True
stochastic5,200,20,1966,1,True
stochastic5,200,21,1967,1,True
stochastic5,200,22,1965,1,True
stochastic5,200,23,1966,1,True
stochastic5,200,24,1969,1,True
stochastic5,200,25,1963,1,True
stochastic5,200,26,1966,1,True
stochastic5,200,27,1970,1,True
stochastic5,200,28,1961,1,True
stochastic5,200,29,1963,1,True
stochastic5,2000,0,19963,10,True
stochastic5,2000,1,19963,10,True
stochastic5,2000,2,19969,10,True
stochastic5,2000,3,19959,10,True
