depth,good_prob,k,tolerance,rule,updates,backups,value,matched,gap,bound,cost
2,1e-05,2,0.001,rank,0,1,0.038016199919,0.038016199919,0,0,36
2,1e-05,2,0.001,generic,0,1,0.038016199919,0.038016199919,0,3.99995999996e-05,30
2,1e-05,2,0.01,rank,0,1,0.038016199919,0.038016199919,0,0,36
2,1e-05,2,0.01,generic,0,1,0.038016199919,0.038016199919,0,3.99995999996e-05,30
2,1e-05,2,0.05,rank,0,1,0.038016199919,0.038016199919,0,0,36
2,1e-05,2,0.05,generic,0,1,0.038016199919,0.038016199919,0,3.99995999996e-05,30
2,1e-05,8,0.001,rank,0,1,0.113940994172,0.113940994172,0,0,36
2,1e-05,8,0.001,generic,0,1,0.113940994172,0.113940994172,0,0.000279988800223,30
2,1e-05,8,0.01,rank,0,1,0.113940994172,0.113940994172,0,0,36
2,1e-05,8,0.01,generic,0,1,0.113940994172,0.113940994172,0,0.000279988800223,30
2,1e-05,8,0.05,rank,0,1,0.113940994172,0.113940994172,0,0,36
2,1e-05,8,0.05,generic,0,1,0.113940994172,0.113940994172,0,0.000279988800223,30
2,1e-05,32,0.001,rank,0,1,0.193143618445,0.193143618445,0,0,36
2,1e-05,32,0.001,generic,1,2,0.193143618445,0.193143618445,0,0.000619900809916,60
2,1e-05,32,0.01,rank,0,1,0.193143618445,0.193143618445,0,0,36
2,1e-05,32,0.01,generic,0,1,0.193143618445,0.193143618445,0,0.00123980161983,30
2,1e-05,32,0.05,rank,0,1,0.193143618445,0.193143618445,0,0,36
2,1e-05,32,0.05,generic,0,1,0.193143618445,0.193143618445,0,0.00123980161983,30
2,0.0001,2,0.001,rank,0,1,0.0381619919,0.0381619919,0,0,36
2,0.0001,2,0.001,generic,0,1,0.0381619919,0.0381619919,0,0.00039996,30
2,0.0001,2,0.01,rank,0,1,0.0381619919,0.0381619919,0,0,36
2,0.0001,2,0.01,generic,0,1,0.0381619919,0.0381619919,0,0.00039996,30
2,0.0001,2,0.05,rank,0,1,0.0381619919,0.0381619919,0,0,36
2,0.0001,2,0.05,generic,0,1,0.0381619919,0.0381619919,0,0.00039996,30
2,0.0001,8,0.001,rank,0,1,0.114250811261,0.114250811261,0,0,36
2,0.0001,8,0.001,generic,2,3,0.114250811261,0.114250811261,0,0,90
2,0.0001,8,0.01,rank,0,1,0.114250811261,0.114250811261,0,0,36
2,0.0001,8,0.01,generic,0,1,0.114250811261,0.114250811261,0,0.00279888022397,30
2,0.0001,8,0.05,rank,0,1,0.114250811261,0.114250811261,0,0,36
2,0.0001,8,0.05,generic,0,1,0.114250811261,0.114250811261,0,0.00279888022397,30
2,0.0001,32,0.001,rank,0,1,0.193242340101,0.193242340101,0,0,36
2,0.0001,32,0.001,generic,2,3,0.193242340101,0.193242340101,0,0,90
2,0.0001,32,0.01,rank,0,1,0.193242340101,0.193242340101,0,0,36
2,0.0001,32,0.01,generic,1,2,0.193242340101,0.193242340101,0,0.00619008991281,60
2,0.0001,32,0.05,rank,0,1,0.193242340101,0.193242340101,0,0,36
2,0.0001,32,0.05,generic,0,1,0.193242340101,0.193242340101,0,0.0123801798256,30
2,0.001,2,0.001,rank,0,1,0.03961919,0.03961919,0,0,36
2,0.001,2,0.001,generic,2,3,0.03961919,0.03961919,0,0,90
2,0.001,2,0.01,rank,0,1,0.03961919,0.03961919,0,0,36
2,0.001,2,0.01,generic,0,1,0.03961919,0.03961919,0,0.003996,30
2,0.001,2,0.05,rank,0,1,0.03961919,0.03961919,0,0,36
2,0.001,2,0.05,generic,0,1,0.03961919,0.03961919,0,0.003996,30
2,0.001,8,0.001,rank,0,1,0.117338266674,0.117338266674,0,0,36
2,0.001,8,0.001,generic,2,3,0.117338266674,0.117338266674,0,0,90
2,0.001,8,0.01,rank,0,1,0.117338266674,0.117338266674,0,0,36
2,0.001,8,0.01,generic,2,3,0.117338266674,0.117338266674,0,0,90
2,0.001,8,0.05,rank,0,1,0.117338266674,0.117338266674,0,0,36
2,0.001,8,0.05,generic,0,1,0.117338266674,0.117338266674,0,0.0278882237202,30
2,0.001,32,0.001,rank,0,1,0.194214549193,0.194214549193,0,0,36
2,0.001,32,0.001,generic,2,3,0.194214549193,0.194214549193,0,0,90
2,0.001,32,0.01,rank,0,1,0.194214549193,0.194214549193,0,0,36
2,0.001,32,0.01,generic,2,3,0.194214549193,0.194214549193,0,0,90
2,0.001,32,0.05,rank,0,1,0.194214549193,0.194214549193,0,0,36
2,0.001,32,0.05,generic,2,3,0.194214549193,0.194214549193,0,0,90
2,0.01,2,0.001,rank,0,1,0.054119,0.054119,0,0,36
2,0.01,2,0.001,generic,2,3,0.054119,0.054119,0,0,90
2,0.01,2,0.01,rank,0,1,0.054119,0.054119,0,0,36
2,0.01,2,0.01,generic,2,3,0.054119,0.054119,0,0,90
2,0.01,2,0.05,rank,0,1,0.054119,0.054119,0,0,36
2,0.01,2,0.05,generic,0,1,0.054119,0.054119,0,0.0396,30
2,0.01,8,0.001,rank,0,1,0.147162433847,0.147162433847,0,0,36
2,0.01,8,0.001,generic,2,3,0.147162433847,0.147162433847,0,0,90
2,0.01,8,0.01,rank,0,1,0.147162433847,0.147162433847,0,0,36
2,0.01,8,0.01,generic,2,3,0.147162433847,0.147162433847,0,0,90
2,0.01,8,0.05,rank,0,1,0.147162433847,0.147162433847,0,0,36
2,0.01,8,0.05,generic,2,3,0.147162433847,0.147162433847,0,0,90
2,0.01,32,0.001,rank,2,3,0.275019664042,0.275019664042,0,0,108
2,0.01,32,0.001,generic,2,3,0.275019664042,0.275019664042,0,0,90
2,0.01,32,0.01,rank,2,3,0.275019664042,0.275019664042,0,0,108
2,0.01,32,0.01,generic,2,3,0.275019664042,0.275019664042,0,0,90
2,0.01,32,0.05,rank,2,3,0.275019664042,0.275019664042,0,0,108
2,0.01,32,0.05,generic,2,3,0.275019664042,0.275019664042,0,0,90
2,0.1,2,0.001,rank,2,3,0.1919,0.1919,0,0,108
2,0.1,2,0.001,generic,2,3,0.1919,0.1919,0,0,90
2,0.1,2,0.01,rank,2,3,0.1919,0.1919,0,0,108
2,0.1,2,0.01,generic,2,3,0.1919,0.1919,0,0,90
2,0.1,2,0.05,rank,0,1,0.1919,0.1919,0,0.0144,36
2,0.1,2,0.05,generic,2,3,0.1919,0.1919,0,0,90
2,0.1,8,0.001,rank,2,3,0.569532786305,0.569532786305,0,0,108
2,0.1,8,0.001,generic,2,3,0.569532786305,0.569532786305,0,0,90
2,0.1,8,0.01,rank,2,3,0.569532786305,0.569532786305,0,0,108
2,0.1,8,0.01,generic,2,3,0.569532786305,0.569532786305,0,0,90
2,0.1,8,0.05,rank,2,3,0.569532786305,0.569532786305,0,0,108
2,0.1,8,0.05,generic,2,3,0.569532786305,0.569532786305,0,0,90
2,0.1,32,0.001,rank,2,3,0.965663161797,0.965663161797,0,0,108
2,0.1,32,0.001,generic,2,3,0.965663161797,0.965663161797,0,0,90
2,0.1,32,0.01,rank,2,3,0.965663161797,0.965663161797,0,0,108
2,0.1,32,0.01,generic,2,3,0.965663161797,0.965663161797,0,0,90
2,0.1,32,0.05,rank,2,3,0.965663161797,0.965663161797,0,0,108
2,0.1,32,0.05,generic,2,3,0.965663161797,0.965663161797,0,0,90
4,1e-05,2,0.001,rank,0,1,0.038016199919,0.038016199919,0,0,60
4,1e-05,2,0.001,generic,0,1,0.038016199919,0.038016199919,0,7.99991999993e-05,50
4,1e-05,2,0.01,rank,0,1,0.038016199919,0.038016199919,0,0,60
4,1e-05,2,0.01,generic,0,1,0.038016199919,0.038016199919,0,7.99991999993e-05,50
4,1e-05,2,0.05,rank,0,1,0.038016199919,0.038016199919,0,0,60
4,1e-05,2,0.05,generic,0,1,0.038016199919,0.038016199919,0,7.99991999993e-05,50
4,1e-05,8,0.001,rank,0,1,0.113940994172,0.113940994172,0,0,60
4,1e-05,8,0.001,generic,0,1,0.113940994172,0.113940994172,0,0.000559977600445,50
4,1e-05,8,0.01,rank,0,1,0.113940994172,0.113940994172,0,0,60
4,1e-05,8,0.01,generic,0,1,0.113940994172,0.113940994172,0,0.000559977600445,50
4,1e-05,8,0.05,rank,0,1,0.113940994172,0.113940994172,0,0,60
4,1e-05,8,0.05,generic,0,1,0.113940994172,0.113940994172,0,0.000559977600445,50
4,1e-05,32,0.001,rank,0,1,0.193143618445,0.193143618445,0,0,60
4,1e-05,32,0.001,generic,3,4,0.193143618445,0.193143618445,0,0.000619900809916,200
4,1e-05,32,0.01,rank,0,1,0.193143618445,0.193143618445,0,0,60
4,1e-05,32,0.01,generic,0,1,0.193143618445,0.193143618445,0,0.00247960323967,50
4,1e-05,32,0.05,rank,0,1,0.193143618445,0.193143618445,0,0,60
4,1e-05,32,0.05,generic,0,1,0.193143618445,0.193143618445,0,0.00247960323967,50
4,0.0001,2,0.001,rank,0,1,0.0381619919,0.0381619919,0,0,60
4,0.0001,2,0.001,generic,0,1,0.0381619919,0.0381619919,0,0.00079992,50
4,0.0001,2,0.01,rank,0,1,0.0381619919,0.0381619919,0,0,60
4,0.0001,2,0.01,generic,0,1,0.0381619919,0.0381619919,0,0.00079992,50
4,0.0001,2,0.05,rank,0,1,0.0381619919,0.0381619919,0,0,60
4,0.0001,2,0.05,generic,0,1,0.0381619919,0.0381619919,0,0.00079992,50
4,0.0001,8,0.001,rank,0,1,0.114250811261,0.114250811261,0,0,60
4,0.0001,8,0.001,generic,4,5,0.114250811261,0.114250811261,0,0,250
4,0.0001,8,0.01,rank,0,1,0.114250811261,0.114250811261,0,0,60
4,0.0001,8,0.01,generic,0,1,0.114250811261,0.114250811261,0,0.00559776044794,50
4,0.0001,8,0.05,rank,0,1,0.114250811261,0.114250811261,0,0,60
