horizon,actions,seed,k,rule,updates,backups,bound,certified,value,matched,gap,oracle_updates,transition_products,menu_pairs,operation_proxy,fixed_h_sweep_proxy,fixed_full_sweep_proxy,backward_dp_proxy
3,2,0,2,rank,1,2,0.00269464978111,True,0.307410466493,0.307410466493,0,0,56,12,176,228,152,76
3,2,0,2,generic,2,3,0,True,0.307410466493,0.307410466493,0,0,84,0,228,228,152,76
3,2,0,8,rank,2,3,0,True,0.416467462348,0.416467462348,0,1,84,18,264,228,152,76
3,2,0,8,generic,2,3,0,True,0.416467462348,0.416467462348,0,1,84,0,228,228,152,76
3,2,0,32,rank,2,3,0,True,0.665306049862,0.665306049862,0,2,84,18,264,228,152,76
3,2,0,32,generic,2,3,0,True,0.665306049862,0.665306049862,0,2,84,0,228,228,152,76
3,2,1,2,rank,1,2,0.000777203518093,True,0.618496800277,0.618496800277,0,0,56,12,176,228,152,76
3,2,1,2,generic,2,3,0,True,0.618496800277,0.618496800277,0,0,84,0,228,228,152,76
3,2,1,8,rank,2,3,0,True,0.820535668247,0.820535668247,0,0,84,18,264,228,152,76
3,2,1,8,generic,2,3,0,True,0.820535668247,0.820535668247,0,0,84,0,228,228,152,76
3,2,1,32,rank,2,3,0,True,0.839972802472,0.839972802472,0,0,84,18,264,228,152,76
3,2,1,32,generic,2,3,0,True,0.839972802472,0.839972802472,0,0,84,0,228,228,152,76
3,2,2,2,rank,1,2,0.0089711984202,True,0.582101387275,0.582101387275,0,0,56,12,176,228,152,76
3,2,2,2,generic,2,3,0,True,0.582101387275,0.582101387275,0,0,84,0,228,228,152,76
3,2,2,8,rank,2,3,0,True,0.611900135186,0.611900135186,0,0,84,18,264,228,152,76
3,2,2,8,generic,2,3,0,True,0.611900135186,0.611900135186,0,0,84,0,228,228,152,76
3,2,2,32,rank,2,3,0,True,0.625012601101,0.625012601101,0,0,84,18,264,228,152,76
3,2,2,32,generic,2,3,0,True,0.625012601101,0.625012601101,0,0,84,0,228,228,152,76
3,2,3,2,rank,0,1,0.0136499943095,True,0.274836490829,0.274836490829,0,0,28,6,88,228,152,76
3,2,3,2,generic,2,3,0,True,0.274836490829,0.274836490829,0,0,84,0,228,228,152,76
3,2,3,8,rank,2,3,0,True,0.404720948104,0.404720948104,0,0,84,18,264,228,152,76
3,2,3,8,generic,2,3,0,True,0.404720948104,0.404720948104,0,0,84,0,228,228,152,76
3,2,3,32,rank,2,3,0,True,0.685611904129,0.685611904129,0,2,84,18,264,228,152,76
3,2,3,32,generic,2,3,0,True,0.685611904129,0.685611904129,0,2,84,0,228,228,152,76
3,2,4,2,rank,1,2,0.0108588578984,True,0.521180049866,0.521180049866,0,0,56,12,176,228,152,76
3,2,4,2,generic,2,3,0,True,0.521180049866,0.521180049866,0,0,84,0,228,228,152,76
3,2,4,8,rank,2,3,0,True,0.594365841015,0.594365841015,0,0,84,18,264,228,152,76
3,2,4,8,generic,2,3,0,True,0.594365841015,0.594365841015,0,0,84,0,228,228,152,76
3,2,4,32,rank,2,3,0,True,0.665499709399,0.665499709399,0,0,84,18,264,228,152,76
3,2,4,32,generic,2,3,0,True,0.665499709399,0.665499709399,0,0,84,0,228,228,152,76
3,2,5,2,rank,0,1,0.0129032797142,True,0.563583149102,0.563583149102,0,0,28,6,88,228,152,76
3,2,5,2,generic,2,3,0,True,0.563583149102,0.563583149102,0,0,84,0,228,228,152,76
3,2,5,8,rank,2,3,0,True,0.629036421621,0.629036421621,0,0,84,18,264,228,152,76
3,2,5,8,generic,2,3,0,True,0.629036421621,0.629036421621,0,0,84,0,228,228,152,76
3,2,5,32,rank,2,3,0,True,0.643931650169,0.643931650169,0,0,84,18,264,228,152,76
3,2,5,32,generic,2,3,0,True,0.643931650169,0.643931650169,0,0,84,0,228,228,152,76
3,2,6,2,rank,0,1,0.00153050637045,True,0.542209485157,0.542209485157,0,0,28,6,88,228,152,76
3,2,6,2,generic,1,2,0.0177213463717,True,0.542209485157,0.542209485157,0,0,56,0,152,228,152,76
3,2,6,8,rank,1,2,0,True,0.653716705438,0.653716705438,0,0,56,12,176,228,152,76
3,2,6,8,generic,2,3,0,True,0.653716705438,0.653716705438,0,0,84,0,228,228,152,76
3,2,6,32,rank,1,2,0,True,0.726913326804,0.726913326804,0,0,56,12,176,228,152,76
3,2,6,32,generic,2,3,0,True,0.726913326804,0.726913326804,0,0,84,0,228,228,152,76
3,2,7,2,rank,0,1,0,True,0.544367478841,0.544367478841,0,0,28,6,88,228,152,76
3,2,7,2,generic,1,2,0.0013877567804,True,0.544367478841,0.544367478841,0,0,56,0,152,228,152,76
3,2,7,8,rank,1,2,0,True,0.735169976289,0.735169976289,0,0,56,12,176,228,152,76
3,2,7,8,generic,1,2,0.0137591974076,True,0.735169976289,0.735169976289,0,0,56,0,152,228,152,76
3,2,7,32,rank,2,3,0,True,0.871405661976,0.871405661976,0,0,84,18,264,228,152,76
3,2,7,32,generic,2,3,0,True,0.871405661976,0.871405661976,0,0,84,0,228,228,152,76
3,2,8,2,rank,0,1,0.00427164810124,True,0.170568958658,0.170568958658,0,0,28,6,88,228,152,76
3,2,8,2,generic,2,3,0,True,0.170568958658,0.170568958658,0,0,84,0,228,228,152,76
3,2,8,8,rank,2,3,0,True,0.244257962759,0.244257962759,0,0,84,18,264,228,152,76
3,2,8,8,generic,2,3,0,True,0.244257962759,0.244257962759,0,0,84,0,228,228,152,76
3,2,8,32,rank,2,3,0,True,0.288636215787,0.288636215787,0,0,84,18,264,228,152,76
3,2,8,32,generic,2,3,0,True,0.288636215787,0.288636215787,0,0,84,0,228,228,152,76
3,2,9,2,rank,2,3,0,True,0.636646628998,0.636646628998,0,0,84,18,264,228,152,76
3,2,9,2,generic,2,3,0,True,0.636646628998,0.636646628998,0,0,84,0,228,228,152,76
3,2,9,8,rank,2,3,0,True,0.701909548979,0.701909548979,0,0,84,18,264,228,152,76
3,2,9,8,generic,2,3,0,True,0.701909548979,0.701909548979,0,0,84,0,228,228,152,76
3,2,9,32,rank,2,3,0,True,0.703652229037,0.703652229037,0,0,84,18,264,228,152,76
3,2,9,32,generic,2,3,0,True,0.703652229037,0.703652229037,0,0,84,0,228,228,152,76
3,2,10,2,rank,2,3,0,True,0.669638550951,0.669638550951,0,0,84,18,264,228,152,76
3,2,10,2,generic,2,3,0,True,0.669638550951,0.669638550951,0,0,84,0,228,228,152,76
3,2,10,8,rank,2,3,0,True,0.692747870079,0.692747870079,0,0,84,18,264,228,152,76
3,2,10,8,generic,2,3,0,True,0.692747870079,0.692747870079,0,0,84,0,228,228,152,76
3,2,10,32,rank,2,3,0,True,0.692771101781,0.692771101781,0,0,84,18,264,228,152,76
3,2,10,32,generic,2,3,0,True,0.692771101781,0.692771101781,0,0,84,0,228,228,152,76
3,2,11,2,rank,0,1,0,True,0.369025205853,0.369025205853,0,0,28,6,88,228,152,76
3,2,11,2,generic,1,2,0.00660298217429,True,0.369025205853,0.369025205853,0,0,56,0,152,228,152,76
3,2,11,8,rank,0,1,0,True,0.434017398987,0.434017398987,0,0,28,6,88,228,152,76
3,2,11,8,generic,2,3,0,True,0.434017398987,0.434017398987,0,0,84,0,228,228,152,76
3,2,11,32,rank,1,2,0,True,0.577423145821,0.577423145821,0,0,56,12,176,228,152,76
3,2,11,32,generic,2,3,0,True,0.577423145821,0.577423145821,0,0,84,0,228,228,152,76
3,8,0,2,rank,2,3,0,True,0.496446960322,0.496446960322,0,0,336,504,3216,1200,800,400
3,8,0,2,generic,2,3,0,True,0.496446960322,0.496446960322,0,0,336,0,1200,1200,800,400
