k,frozen,refreshed,matched
1,1.1,1.1,1.1
2,1.919,1.919,1.919
3,2.51759,2.70929,2.70929
4,2.9441279,3.4388561,3.4388561
5,3.237135599,4.095079049,4.095079049
6,3.42723263519,4.68558731441,4.68558731441
7,3.5386959545,5.2170306783,5.2170306783
8,3.59071749115,5.69532786305,5.69532786305
9,3.59841755903,6.12579510587,6.12579510587
10,3.57366097489,6.51321559855,6.51321559855
11,3.52571386654,6.86189403905,6.86189403905
12,3.46177186108,7.17570463518,7.17570463518
13,3.38738447374,7.45813417167,7.45813417167
14,3.30679576337,7.7123207545,7.7123207545
15,3.22321747401,7.94108867905,7.94108867905
16,3.13904776905,8.14697981115,8.14697981115
17,3.05604614653,8.33228183003,8.33228183003
18,2.97547308693,8.49905364703,8.49905364703
19,2.89820133782,8.64914828233,8.64914828233
20,2.82480440731,8.78423345409,8.78423345409
21,2.75562676123,8.90581010868,8.90581010868
22,2.69083934877,9.01522909782,9.01522909782
23,2.63048337746,9.11370618803,9.11370618803
24,2.5745046902,9.20233556923,9.20233556923
25,2.52278063808,9.28210201231,9.28210201231
26,2.47514097196,9.35389181108,9.35389181108
27,2.43138397689,9.41850262997,9.41850262997
28,2.39128883192,9.47665236697,9.47665236697
29,2.35462498344,9.52898713028,9.52898713028
30,2.3211591632,9.57608841725,9.57608841725
31,2.29066055615,9.61847957552,9.61847957552
32,2.26290452105,9.65663161797,9.65663161797
33,2.23767518555,9.69096845617,9.69096845617
34,2.21476717145,9.72187161056,9.72187161056
35,2.19398665292,9.7496844495,9.7496844495
36,2.1751519085,9.77471600455,9.77471600455
37,2.15809349356,9.7972444041,9.7972444041
38,2.14265413269,9.81751996369,9.81751996369
39,2.12868841009,9.83576796732,9.83576796732
40,2.11606231853,9.85219117059,9.85219117059
41,2.10465271372,9.86697205353,9.86697205353
42,2.09434671026,9.88027484817,9.88027484817
43,2.08504104624,9.89224736336,9.89224736336
44,2.0766414373,9.90302262702,9.90302262702
45,2.06906193506,9.91272036432,9.91272036432
46,2.06222430117,9.92144832789,9.92144832789
47,2.05605740434,9.9293034951,9.9293034951
48,2.05049664587,9.93637314559,9.93637314559
49,2.04548341667,9.94273583103,9.94273583103
50,2.04096458767,9.94846224793,9.94846224793
51,2.03689203416,9.95361602313,9.95361602313
52,2.03322219401,9.95825442082,9.95825442082
53,2.02991565885,9.96242897874,9.96242897874
54,2.0269367972,9.96618608086,9.96618608086
55,2.02425340791,9.96956747278,9.96956747278
56,2.02183640236,9.9726107255,9.9726107255
57,2.01965951368,9.97534965295,9.97534965295
58,2.01769903107,9.97781468766,9.97781468766
59,2.01593355765,9.98003321889,9.98003321889
60,2.01434378994,9.982029897,9.982029897
61,2.01291231727,9.9838269073,9.9838269073
62,2.01162343966,9.98544421657,9.98544421657
63,2.01046300253,9.98689979491,9.98689979491
64,2.00941824682,9.98820981542,9.98820981542
