depth,goodp,safep,k,updates,value,optimal,gap
1,0.02,0.03,1,0,0.0254,0.0254,0
1,0.02,0.03,1,1,0.0254,0.0254,0
1,0.02,0.03,1,2,0.0254,0.0254,0
1,0.02,0.03,2,0,0.04907964,0.04907964,0
1,0.02,0.03,2,1,0.04907964,0.04907964,0
1,0.02,0.03,2,2,0.04907964,0.04907964,0
1,0.02,0.03,3,0,0.071137873784,0.071137873784,0
1,0.02,0.03,3,1,0.071137873784,0.071137873784,0
1,0.02,0.03,3,2,0.071137873784,0.071137873784,0
1,0.02,0.03,4,0,0.0916683477791,0.0916683477791,0
1,0.02,0.03,4,1,0.0916683477791,0.0916683477791,0
1,0.02,0.03,4,2,0.0916683477791,0.0916683477791,0
1,0.02,0.03,8,0,0.160214818147,0.160214818147,0
1,0.02,0.03,8,1,0.160214818147,0.160214818147,0
1,0.02,0.03,8,2,0.160214818147,0.160214818147,0
1,0.02,0.03,16,0,0.246807528528,0.276202279408,0.0293947508793
1,0.02,0.03,16,1,0.276202279408,0.276202279408,0
1,0.02,0.03,16,2,0.276202279408,0.276202279408,0
1,0.02,0.03,32,0,0.304180976053,0.476116859665,0.171935883612
1,0.02,0.03,32,1,0.476116859665,0.476116859665,0
1,0.02,0.03,32,2,0.476116859665,0.476116859665,0
1,0.02,0.03,64,0,0.274817312552,0.725546455273,0.450729142721
1,0.02,0.03,64,1,0.725546455273,0.725546455273,0
1,0.02,0.03,64,2,0.725546455273,0.725546455273,0
1,0.02,0.1,1,0,0.038,0.038,0
1,0.02,0.1,1,1,0.038,0.038,0
1,0.02,0.1,1,2,0.038,0.038,0
1,0.02,0.1,2,0,0.070076,0.070076,0
1,0.02,0.1,2,1,0.070076,0.070076,0
1,0.02,0.1,2,2,0.070076,0.070076,0
1,0.02,0.1,3,0,0.097071032,0.097071032,0
1,0.02,0.1,3,1,0.097071032,0.097071032,0
1,0.02,0.1,3,2,0.097071032,0.097071032,0
1,0.02,0.1,4,0,0.119714250224,0.119714250224,0
1,0.02,0.1,4,1,0.119714250224,0.119714250224,0
1,0.02,0.1,4,2,0.119714250224,0.119714250224,0
