horizon,actions,seed,k,updates,value,matched,gap,baseline
3,2,0,2,0,0.307410466493,0.307410466493,0,0.279592876206
3,2,0,2,1,0.307410466493,0.307410466493,0,0.279592876206
3,2,0,2,2,0.307410466493,0.307410466493,0,0.279592876206
3,2,0,2,3,0.307410466493,0.307410466493,0,0.279592876206
3,2,0,8,0,0.364725373194,0.416467462348,0.0517420891538,0.279592876206
3,2,0,8,1,0.415349137358,0.416467462348,0.00111832498983,0.279592876206
3,2,0,8,2,0.416467462348,0.416467462348,0,0.279592876206
3,2,0,8,3,0.416467462348,0.416467462348,0,0.279592876206
3,2,0,32,0,0.442715912951,0.665306049862,0.222590136911,0.279592876206
3,2,0,32,1,0.626131804757,0.665306049862,0.039174245105,0.279592876206
3,2,0,32,2,0.665306049862,0.665306049862,0,0.279592876206
3,2,0,32,3,0.665306049862,0.665306049862,0,0.279592876206
3,2,1,2,0,0.618496800277,0.618496800277,0,0.464043873939
3,2,1,2,1,0.618496800277,0.618496800277,0,0.464043873939
3,2,1,2,2,0.618496800277,0.618496800277,0,0.464043873939
3,2,1,2,3,0.618496800277,0.618496800277,0,0.464043873939
3,2,1,8,0,0.820535668247,0.820535668247,0,0.464043873939
3,2,1,8,1,0.820535668247,0.820535668247,0,0.464043873939
3,2,1,8,2,0.820535668247,0.820535668247,0,0.464043873939
3,2,1,8,3,0.820535668247,0.820535668247,0,0.464043873939
3,2,1,32,0,0.839972802472,0.839972802472,0,0.464043873939
3,2,1,32,1,0.839972802472,0.839972802472,0,0.464043873939
3,2,1,32,2,0.839972802472,0.839972802472,0,0.464043873939
3,2,1,32,3,0.839972802472,0.839972802472,0,0.464043873939
3,2,2,2,0,0.582101387275,0.582101387275,0,0.519049886582
3,2,2,2,1,0.582101387275,0.582101387275,0,0.519049886582
3,2,2,2,2,0.582101387275,0.582101387275,0,0.519049886582
3,2,2,2,3,0.582101387275,0.582101387275,0,0.519049886582
3,2,2,8,0,0.611900135186,0.611900135186,0,0.519049886582
3,2,2,8,1,0.611900135186,0.611900135186,0,0.519049886582
3,2,2,8,2,0.611900135186,0.611900135186,0,0.519049886582
3,2,2,8,3,0.611900135186,0.611900135186,0,0.519049886582
3,2,2,32,0,0.625012601101,0.625012601101,0,0.519049886582
3,2,2,32,1,0.625012601101,0.625012601101,0,0.519049886582
3,2,2,32,2,0.625012601101,0.625012601101,0,0.519049886582
3,2,2,32,3,0.625012601101,0.625012601101,0,0.519049886582
3,2,3,2,0,0.274836490829,0.274836490829,0,0.2359275607
3,2,3,2,1,0.274836490829,0.274836490829,0,0.2359275607
3,2,3,2,2,0.274836490829,0.274836490829,0,0.2359275607
3,2,3,2,3,0.274836490829,0.274836490829,0,0.2359275607
3,2,3,8,0,0.404720948104,0.404720948104,0,0.2359275607
3,2,3,8,1,0.404720948104,0.404720948104,0,0.2359275607
3,2,3,8,2,0.404720948104,0.404720948104,0,0.2359275607
3,2,3,8,3,0.404720948104,0.404720948104,0,0.2359275607
3,2,3,32,0,0.582782927461,0.685611904129,0.102828976668,0.2359275607
3,2,3,32,1,0.644644976224,0.685611904129,0.0409669279048,0.2359275607
3,2,3,32,2,0.685611904129,0.685611904129,0,0.2359275607
3,2,3,32,3,0.685611904129,0.685611904129,0,0.2359275607
3,2,4,2,0,0.521180049866,0.521180049866,0,0.465222374379
3,2,4,2,1,0.521180049866,0.521180049866,0,0.465222374379
3,2,4,2,2,0.521180049866,0.521180049866,0,0.465222374379
3,2,4,2,3,0.521180049866,0.521180049866,0,0.465222374379
3,2,4,8,0,0.594365841015,0.594365841015,0,0.465222374379
3,2,4,8,1,0.594365841015,0.594365841015,0,0.465222374379
3,2,4,8,2,0.594365841015,0.594365841015,0,0.465222374379
3,2,4,8,3,0.594365841015,0.594365841015,0,0.465222374379
3,2,4,32,0,0.665499709399,0.665499709399,0,0.465222374379
3,2,4,32,1,0.665499709399,0.665499709399,0,0.465222374379
3,2,4,32,2,0.665499709399,0.665499709399,0,0.465222374379
3,2,4,32,3,0.665499709399,0.665499709399,0,0.465222374379
3,2,5,2,0,0.563583149102,0.563583149102,0,0.516604953349
3,2,5,2,1,0.563583149102,0.563583149102,0,0.516604953349
3,2,5,2,2,0.563583149102,0.563583149102,0,0.516604953349
3,2,5,2,3,0.563583149102,0.563583149102,0,0.516604953349
3,2,5,8,0,0.629036421621,0.629036421621,0,0.516604953349
3,2,5,8,1,0.629036421621,0.629036421621,0,0.516604953349
3,2,5,8,2,0.629036421621,0.629036421621,0,0.516604953349
3,2,5,8,3,0.629036421621,0.629036421621,0,0.516604953349
3,2,5,32,0,0.643931650169,0.643931650169,0,0.516604953349
3,2,5,32,1,0.643931650169,0.643931650169,0,0.516604953349
3,2,5,32,2,0.643931650169,0.643931650169,0,0.516604953349
3,2,5,32,3,0.643931650169,0.643931650169,0,0.516604953349
3,2,6,2,0,0.542209485157,0.542209485157,0,0.461532645903
3,2,6,2,1,0.542209485157,0.542209485157,0,0.461532645903
3,2,6,2,2,0.542209485157,0.542209485157,0,0.461532645903
3,2,6,2,3,0.542209485157,0.542209485157,0,0.461532645903
3,2,6,8,0,0.653716705438,0.653716705438,0,0.461532645903
3,2,6,8,1,0.653716705438,0.653716705438,0,0.461532645903
3,2,6,8,2,0.653716705438,0.653716705438,0,0.461532645903
3,2,6,8,3,0.653716705438,0.653716705438,0,0.461532645903
3,2,6,32,0,0.726913326804,0.726913326804,0,0.461532645903
3,2,6,32,1,0.726913326804,0.726913326804,0,0.461532645903
3,2,6,32,2,0.726913326804,0.726913326804,0,0.461532645903
3,2,6,32,3,0.726913326804,0.726913326804,0,0.461532645903
3,2,7,2,0,0.544367478841,0.544367478841,0,0.466103220602
3,2,7,2,1,0.544367478841,0.544367478841,0,0.466103220602
3,2,7,2,2,0.544367478841,0.544367478841,0,0.466103220602
3,2,7,2,3,0.544367478841,0.544367478841,0,0.466103220602
3,2,7,8,0,0.735169976289,0.735169976289,0,0.466103220602
3,2,7,8,1,0.735169976289,0.735169976289,0,0.466103220602
3,2,7,8,2,0.735169976289,0.735169976289,0,0.466103220602
