n_per_state,seed,k,samples,model_contains,accepted,proposal_value,old_value,harmful_proposal,false_accept,accepted_value,baseline,matched
100,0,2,97,True,False,0.593857142857,0.59,False,False,0.59,0.59,0.599
100,0,8,97,True,False,0.579302518727,0.59,True,False,0.59,0.59,0.599999999
100,0,32,97,True,False,0.539550130983,0.59,True,False,0.59,0.59,0.6
100,1,2,97,True,False,0.593857142857,0.59,False,False,0.59,0.59,0.599
100,1,8,97,True,False,0.579302518727,0.59,True,False,0.59,0.59,0.599999999
100,1,32,97,True,False,0.539550130983,0.59,True,False,0.59,0.59,0.6
100,2,2,97,True,False,0.586142857143,0.59,True,False,0.59,0.59,0.599
100,2,8,97,True,False,0.555274208579,0.59,True,False,0.59,0.59,0.599999999
100,2,32,97,True,False,0.509334480056,0.59,True,False,0.59,0.59,0.6
100,3,2,97,True,False,0.588714285714,0.59,True,False,0.59,0.59,0.599
100,3,8,97,True,False,0.562454993028,0.59,True,False,0.59,0.59,0.599999999
100,3,32,97,True,False,0.515214884395,0.59,True,False,0.59,0.59,0.6
100,4,2,97,True,False,0.586142857143,0.59,True,False,0.59,0.59,0.599
100,4,8,97,True,False,0.555274208579,0.59,True,False,0.59,0.59,0.599999999
100,4,32,97,True,False,0.509334480056,0.59,True,False,0.59,0.59,0.6
100,5,2,97,True,False,0.588714285714,0.59,True,False,0.59,0.59,0.599
100,5,8,97,True,False,0.562454993028,0.59,True,False,0.59,0.59,0.599999999
100,5,32,97,True,False,0.515214884395,0.59,True,False,0.59,0.59,0.6
100,6,2,97,True,False,0.586142857143,0.59,True,False,0.59,0.59,0.599
100,6,8,97,True,False,0.555274208579,0.59,True,False,0.59,0.59,0.599999999
100,6,32,97,True,False,0.509334480056,0.59,True,False,0.59,0.59,0.6
100,7,2,97,True,False,0.591285714286,0.59,False,False,0.59,0.59,0.599
100,7,8,97,True,False,0.570439149156,0.59,True,False,0.59,0.59,0.599999999
100,7,32,97,True,False,0.524618206256,0.59,True,False,0.59,0.59,0.6
100,8,2,97,True,False,0.588714285714,0.59,True,False,0.59,0.59,0.599
100,8,8,97,True,False,0.562454993028,0.59,True,False,0.59,0.59,0.599999999
100,8,32,97,True,False,0.515214884395,0.59,True,False,0.59,0.59,0.6
100,9,2,97,True,False,0.588714285714,0.59,True,False,0.59,0.59,0.599
100,9,8,97,True,False,0.562454993028,0.59,True,False,0.59,0.59,0.599999999
100,9,32,97,True,False,0.515214884395,0.59,True,False,0.59,0.59,0.6
100,10,2,97,True,False,0.588714285714,0.59,True,False,0.59,0.59,0.599
100,10,8,97,True,False,0.562454993028,0.59,True,False,0.59,0.59,0.599999999
100,10,32,97,True,False,0.515214884395,0.59,True,False,0.59,0.59,0.6
100,11,2,97,True,False,0.586142857143,0.59,True,False,0.59,0.59,0.599
100,11,8,97,True,False,0.555274208579,0.59,True,False,0.59,0.59,0.599999999
100,11,32,97,True,False,0.509334480056,0.59,True,False,0.59,0.59,0.6
100,12,2,97,True,False,0.596428571429,0.59,False,False,0.59,0.59,0.599
100,12,8,97,True,False,0.589126818558,0.59,True,False,0.59,0.59,0.599999999
100,12,32,97,True,False,0.563100619517,0.59,True,False,0.59,0.59,0.6
100,13,2,97,True,False,0.591285714286,0.59,False,False,0.59,0.59,0.599
