taskseed,dataseed,k,updates,value,matched,gap,rank_bound,generic_bound,empirical_full_value,baseline
0,0,2,0,0.34362443269,0.371326186702,0.0277017540114,16.2594825292,20.9127156671,0.370999674747,0.236539589649
0,0,2,1,0.343493505202,0.371326186702,0.0278326814998,16.1274163749,20.7593631406,0.370999674747,0.236539589649
0,0,2,2,0.343805183859,0.371326186702,0.0275210028429,16.5749654354,21.3335748146,0.370999674747,0.236539589649
0,0,2,3,0.343921550173,0.371326186702,0.0274046365286,16.8071011584,21.6315242803,0.370999674747,0.236539589649
0,0,2,4,0.343805183859,0.371326186702,0.0275210028429,16.8230859543,21.6556451718,0.370999674747,0.236539589649
0,0,2,5,0.343805183859,0.371326186702,0.0275210028429,16.8230859543,21.6556451718,0.370999674747,0.236539589649
0,0,8,0,0.501436102378,0.595078731531,0.0936426291538,21.7921144675,21.9378002469,0.593014715347,0.236539589649
0,0,8,1,0.521101124265,0.595078731531,0.0739776072666,21.9894594044,22.1418613197,0.593014715347,0.236539589649
0,0,8,2,0.520017521679,0.595078731531,0.0750612098527,23.5723499577,23.7326171594,0.593014715347,0.236539589649
0,0,8,3,0.51983954438,0.595078731531,0.0752391871517,23.941980792,24.1018139919,0.593014715347,0.236539589649
0,0,8,4,0.519315709769,0.595078731531,0.075763021762,23.7729078463,23.9362895395,0.593014715347,0.236539589649
0,0,8,5,0.519315709769,0.595078731531,0.075763021762,23.7729078463,23.9362895395,0.593014715347,0.236539589649
0,0,32,0,0.527347543343,0.70316674289,0.175819199547,22.5566062138,22.6756268054,0.698019911549,0.236539589649
0,0,32,1,0.591783501098,0.70316674289,0.111383241792,23.3039671958,23.4202211549,0.698019911549,0.236539589649
0,0,32,2,0.589432876226,0.70316674289,0.113733866664,25.3204788277,25.4549931219,0.698019911549,0.236539589649
0,0,32,3,0.588023077727,0.70316674289,0.115143665163,25.6854550504,25.8174471517,0.698019911549,0.236539589649
0,0,32,4,0.587161844814,0.70316674289,0.116004898076,25.3894916838,25.5238246804,0.698019911549,0.236539589649
0,0,32,5,0.587161844814,0.70316674289,0.116004898076,25.3894916838,25.5238246804,0.698019911549,0.236539589649
0,1,2,0,0.340577972378,0.371326186702,0.0307482143242,17.2159371726,22.1392720751,0.370983476506,0.236539589649
