actions,seed,k,envelope,robust,ratio,ambiguity,enumeration_error,menus_enumerated,vertices_checked
2,0,1,0,5.55111512313e-17,,0,0,2,4
2,0,2,0.00639856474616,0.00639856474616,1,0.00580051357328,1.73472347598e-18,4,4
2,0,3,0.00959784711924,0.00959784711924,1,0.00870077035992,1.1622647289e-16,8,4
2,0,8,0.0254091145919,0.0254091145919,1,0.0230342146907,0,0,4
2,0,64,0.187618724049,0.187618724049,1,0.170082666757,0,0,4
2,1,1,0,2.77555756156e-17,,0,0,2,4
2,1,2,0.136365968294,0.136365968294,1,0.499999980187,1.11022302463e-16,4,4
2,1,3,0.204548952441,0.204548952441,1,0.749999970281,2.77555756156e-17,8,4
2,1,8,0.270601226691,0.270601226691,1,0.992187491332,0,0,4
2,1,64,0.272731947394,0.272731947394,1,1,0,0,4
2,2,1,0,1.11022302463e-16,,0,0,2,4
2,2,2,0.0498549040918,0.0498549040918,1,0.0504586483014,3.46944695195e-17,4,4
2,2,3,0.0747823561377,0.0747823561377,1,0.0756879724522,4.16333634234e-17,8,4
2,2,8,0.187094629061,0.187094629061,1,0.189360349976,0,0,4
2,2,64,0.803790168902,0.803790168902,1,0.813524089147,0,0,4
2,3,1,0,0,,0,0,2,4
2,3,2,0,0,,0,0,4,4
2,3,3,0,0,,0,0,8,4
2,3,8,0,0,,0,0,0,4
2,3,64,0,0,,0,0,0,4
2,4,1,0,0,,0,0,2,4
2,4,2,0.00619044805697,0.00619044805697,1,0.0022544416406,3.51281503885e-16,4,4
2,4,3,0.00928567208546,0.00928567208546,1,0.0033816624609,2.22044604925e-16,8,4
2,4,8,0.0246920751257,0.0246920751257,1,0.00899237694005,0,0,4
2,4,64,0.191430034252,0.191430034252,1,0.0697151218308,0,0,4
2,5,1,0,0,,0,0,2,4
2,5,2,0.0656667761938,0.0656667761938,1,0.375443653547,5.55111512313e-17,4,4
2,5,3,0.0985001642907,0.0985001642907,1,0.56316548032,1.38777878078e-17,8,4
2,5,8,0.157474339328,0.157474339328,1,0.900344812463,0,0,4
2,5,64,0.174904476173,0.174904476173,1,0.999999990285,0,0,4
2,6,1,0,0,,0,0,2,4
2,6,2,0,0,,0,0,4,4
2,6,3,0,0,,0,0,8,4
2,6,8,0,0,,0,0,0,4
2,6,64,0,0,,0,0,0,4
2,7,1,0,1.94289029309e-16,,0,0,2,4
2,7,2,0.0821887771513,0.0821887771513,1,0.0545628596906,3.46944695195e-16,4,4
2,7,3,0.123283165727,0.123283165727,1,0.0818442895359,5.27355936697e-16,8,4
2,7,8,0.306820535536,0.306820535536,1,0.203689681376,0,0,4
2,7,64,1.26277143825,1.26277143825,1,0.838319089229,0,0,4
2,8,1,0,0,,0,0,2,4
2,8,2,1.32417407072,1.32417407072,1,0.338458958479,2.22044604925e-16,4,4
2,8,3,1.98626110608,1.98626110608,1,0.507688437719,2.22044604925e-16,8,4
2,8,8,3.3527659002,3.3527659002,1,0.856967131209,0,0,4
2,8,64,3.91236161915,3.91236161915,1,0.999999824865,0,0,4
2,9,1,0,0,,0,0,2,4
2,9,2,0.102087116836,0.102087116836,1,0.334779362402,5.55111512313e-17,4,4
2,9,3,0.153130675254,0.153130675254,1,0.502169043603,2.77555756156e-17,8,4
2,9,8,0.2598696456,0.2598696456,1,0.85220346071,0,0,4
2,9,64,0.304938431289,0.304938431289,1,0.999999772377,0,0,4
2,10,1,0,2.22044604925e-16,,0,0,2,4
2,10,2,0.0797952794336,0.0797952794336,1,0.0323262671899,2.77555756156e-16,4,4
2,10,3,0.11969291915,0.11969291915,1,0.0484894007849,1.38777878078e-16,8,4
2,10,8,0.306450133323,0.306450133323,1,0.124147555601,0,0,4
2,10,64,1.61362544402,1.61362544402,1,0.653703923569,0,0,4
2,11,1,0,0,,0,0,2,4
2,11,2,0,0,,0,0,4,4
2,11,3,0,0,,0,0,8,4
2,11,8,0,0,,0,0,0,4
2,11,64,0,0,,0,0,0,4
2,12,1,0,0,,0,0,2,4
2,12,2,0.906528901478,0.906528901478,1,0.455027021746,1.11022302463e-16,4,4
2,12,3,1.35979335222,1.35979335222,1,0.682540532619,4.4408920985e-16,8,4
2,12,8,1.92835688188,1.92835688188,1,0.967927759827,0,0,4
2,12,64,1.99225289522,1.99225289522,1,0.999999999999,0,0,4
2,13,1,0,0,,0,0,2,4
2,13,2,0,0,,0,0,4,4
2,13,3,0,0,,0,0,8,4
2,13,8,0,0,,0,0,0,4
2,13,64,0,0,,0,0,0,4
2,14,1,0,0,,0,0,2,4
2,14,2,0,0,,0,0,4,4
2,14,3,0,0,,0,0,8,4
2,14,8,0,0,,0,0,0,4
2,14,64,0,0,,0,0,0,4
2,15,1,0,0,,0,0,2,4
2,15,2,0.0379863628245,0.0379863628245,1,0.0901566856384,2.77555756156e-17,4,4
2,15,3,0.0569795442368,0.0569795442368,1,0.135235028458,5.55111512313e-17,8,4
2,15,8,0.135435872455,0.135435872455,1,0.321442972403,0,0,4
2,15,64,0.402399759845,0.402399759845,1,0.955054023385,0,0,4
2,16,1,0,0,,0,0,2,4
2,16,2,0,0,,0,0,4,4
2,16,3,0,0,,0,0,8,4
2,16,8,0,0,,0,0,0,4
2,16,64,0,0,,0,0,0,4
2,17,1,0,0,,0,0,2,4
2,17,2,0,0,,0,0,4,4
2,17,3,0,0,,0,0,8,4
2,17,8,0,0,,0,0,0,4
2,17,64,0,0,,0,0,0,4
2,18,1,0,0,,0,0,2,4
2,18,2,0.429565056415,0.429565056415,1,0.414672779606,5.55111512313e-17,4,4
2,18,3,0.644347584623,0.644347584623,1,0.622009169409,2.22044604925e-16,8,4
2,18,8,0.971517250781,0.971517250781,1,0.937836429663,0,0,4
2,18,64,1.03591332117,1.03591332117,1,0.999999999779,0,0,4
2,19,1,0,0,,0,0,2,4
2,19,2,0.0545793165868,0.0545793165869,1,0.0162724581048,4.85722573274e-16,4,4
2,19,3,0.0818689748803,0.0818689748803,1,0.0244086871572,7.21644966006e-16,8,4
2,19,8,0.213905443168,0.213905443168,1,0.0637744768534,0,0,4
2,19,64,1.37430343802,1.37430343802,1,0.409739375957,0,0,4
3,0,1,0,0,,0,0,3,8
3,0,2,0.881244392675,0.838473957118,1.0510098557,0.655048278794,0,9,8
3,0,3,1.11718068665,1.06881296563,1.04525368103,0.877742297628,2.22044604925e-16,27,8
3,0,8,1.25659382457,1.24100078777,1.01256488872,0.999155022855,0,0,8
3,0,64,1.33477066123,1.33477066123,1,1,0,0,8
3,1,1,0,0,,0,0,3,8
3,1,2,0.00609389741554,0.00609389741554,1,0.0075230205767,8.67361737988e-19,9,8
3,1,3,0.00173125297091,0.00173125297091,1,0.0021372614003,2.16840434497e-19,27,8
3,1,8,8.54588052608e-07,8.54588052546e-07,1.00000000007,1.05500356602e-06,0,0,8
3,1,64,4.57421951248e-47,0,,5.646952216e-47,0,0,8
3,2,1,0,4.4408920985e-16,,0,0,3,8
3,2,2,0.995441463838,0.742252483408,1.34110897045,0.64183746432,1.11022302463e-16,9,8
3,2,3,1.43609854251,1.11337872511,1.28985628171,0.864832688618,2.22044604925e-16,27,8
3,2,8,2.05639210182,1.89128732002,1.08729756714,0.998522184681,0,0,8
3,2,64,2.23725892532,2.23725867078,1.00000011377,1,0,0,8
3,3,1,0,2.22044604925e-16,,0,0,3,8
3,3,2,0.784382210119,0.639088358693,1.22734548275,0.617746022745,2.22044604925e-16,9,8
3,3,3,1.0734297843,0.958632538039,1.11975104298,0.84201671352,4.4408920985e-16,27,8
3,3,8,1.33450985486,1.32764748287,1.00516882085,0.997186346931,0,0,8
3,3,64,1.39953447594,1.39953447594,1,1,0,0,8
3,4,1,0,5.55111512313e-17,,0,0,3,8
3,4,2,1.52109280134,1.4575954064,1.04356311406,0.535742376894,2.22044604925e-16,9,8
3,4,3,2.23729546665,2.18797074737,1.02254359174,0.777302960046,8.881784197e-16,27,8
3,4,8,2.90361592579,2.89950282597,1.00141855348,0.994263907706,0,0,8
3,4,64,2.92330587725,2.92330587725,1,1,0,0,8
3,5,1,0,0,,0,0,3,8
3,5,2,0.247417705984,0.247417705984,1,0.168829552624,8.32667268469e-17,9,8
3,5,3,0.233768726955,0.233768726955,1,0.159515946655,2.77555756156e-17,27,8
3,5,8,0.0343817832963,0.0343817832963,1,0.0234609769307,0,0,8
3,5,64,2.08402260421e-13,2.08388861722e-13,,1.42206719817e-13,0,0,8
3,6,1,0,2.22044604925e-16,,0,0,3,8
3,6,2,0.276219287902,0.264748880092,1.04332561409,0.250317909258,5.55111512313e-17,9,8
3,6,3,0.411136002547,0.397123320139,1.03528546851,0.363096325842,1.66533453694e-16,27,8
3,6,8,0.902658015839,0.819985222188,1.10082229705,0.700629740447,0,0,8
3,6,64,1.96448640514,1.95076036663,1.00703625045,0.999935483736,0,0,8
3,7,1,0,0,,0,0,3,8
3,7,2,0.021168823852,0.021168823852,1,0.465015372695,5.55111512313e-17,9,8
3,7,3,0.0286012632292,0.0286012632292,1,0.697523059043,0,27,8
3,7,8,0.0337794482563,0.0337794482563,1,0.974129271805,0,0,8
3,7,64,0.0331437866253,0.0331437866253,1,1,0,0,8
3,8,1,0,0,,0,0,3,8
3,8,2,0.037069321397,0.0331625620476,1.11780631858,0.208394243477,0,9,8
3,8,3,0.0528172349035,0.0518738777206,1.01818559214,0.312591365215,1.11022302463e-16,27,8
3,8,8,0.10609024444,0.106090085004,1.00000150283,0.634300777088,0,0,8
3,8,64,0.167201777781,0.167201777781,1,0.999680116427,0,0,8
3,9,1,0,2.22044604925e-16,,0,0,3,8
3,9,2,1.14801356683,1.14801356683,1,0.380017837905,2.22044604925e-16,9,8
3,9,3,1.70684670818,1.70684670818,1,0.570026756858,2.22044604925e-16,27,8
3,9,8,2.58869112733,2.58869112733,1,0.905156112042,0,0,8
3,9,64,2.05050977649,2.05050977649,1,0.999999993462,0,0,8
3,10,1,0,2.22044604925e-16,,0,0,3,8
3,10,2,0.965714902695,0.718469074152,1.34412870009,0.654539982193,1.11022302463e-16,9,8
3,10,3,1.26736676915,0.986776954017,1.28434978542,0.877307063727,2.22044604925e-16,27,8
3,10,8,1.46456463974,1.42703423186,1.02629958486,0.999148848388,0,0,8
3,10,64,1.51653954307,1.51653954307,1,1,0,0,8
3,11,1,0,0,,0,0,3,8
3,11,2,0,0,,0,0,9,8
3,11,3,0,0,,0,0,27,8
3,11,8,0,0,,0,0,0,8
3,11,64,0,0,,0,0,0,8
3,12,1,0,4.4408920985e-16,,0,0,3,8
3,12,2,1.21105147028,1.14677286028,1.05605173634,0.53090918114,2.22044604925e-16,9,8
3,12,3,1.75893711948,1.72015929041,1.02254316172,0.751487492151,5.55111512313e-16,27,8
3,12,8,2.44049674288,2.43977836183,1.00029444521,0.98356170518,0,0,8
3,12,64,2.75024264855,2.75024264855,1,1,0,0,8
3,13,1,0,2.22044604925e-16,,0,0,3,8
3,13,2,0.10506239946,0.10506239946,1,0.219297766123,5.55111512313e-17,9,8
3,13,3,0.178640925937,0.178640925937,1,0.372878938586,1.66533453694e-16,27,8
3,13,8,0.3532073055,0.3532073055,1,0.737253036978,0,0,8
3,13,64,0.479074722294,0.479074722294,1,0.999977317713,0,0,8
3,14,1,0,5.55111512313e-17,,0,0,3,8
3,14,2,0.22464875282,0.22464875282,1,0.282383795928,5.55111512313e-17,9,8
3,14,3,0.269137136113,0.269137136113,1,0.338305755837,1.66533453694e-16,27,8
3,14,8,0.126408249183,0.126408249183,1,0.158895345702,0,0,8
3,14,64,4.49654572667e-07,4.49654572909e-07,0.99999999946,5.65216425606e-07,0,0,8
3,15,1,0,4.16333634234e-17,,0,0,3,8
3,15,2,0.215339306206,0.215339306206,1,0.490575548984,5.55111512313e-17,9,8
3,15,3,0.326056798523,0.326056798523,1,0.742806762748,1.11022302463e-16,27,8
3,15,8,0.435248743652,0.435248743652,1,0.991562549,0,0,8
3,15,64,0.438952382874,0.438952382874,1,1,0,0,8
3,16,1,0,0,,0,0,3,8
3,16,2,0.0898052007368,0.0669455758942,1.34146580319,0.463322413925,0,9,8
3,16,3,0.0870634957705,0.0486596631551,1.78923342509,0.694983620887,1.11022302463e-16,27,8
3,16,8,0.0611100124569,0.0590229169722,1.0353607648,0.973111760129,0,0,8
3,16,64,0.060824281956,0.060824281956,1,1,0,0,8
3,17,1,0,2.22044604925e-16,,0,0,3,8
3,17,2,0.896785112418,0.837060122615,1.07135089606,0.474043623968,2.22044604925e-16,9,8
3,17,3,1.28400035423,1.25559018392,1.02262694522,0.669137806526,4.4408920985e-16,27,8
3,17,8,1.94140308116,1.94126410665,1.0000715897,0.952705660551,0,0,8
3,17,64,2.12157220034,2.12157220034,1,0.999999999975,0,0,8
3,18,1,0,0,,0,0,3,8
3,18,2,0,0,,0,0,9,8
3,18,3,0,0,,0,0,27,8
3,18,8,0,0,,0,0,0,8
3,18,64,0,0,,0,0,0,8
3,19,1,0,0,,0,0,3,8
3,19,2,0.684058388182,0.684058388182,1,0.466096427336,2.22044604925e-16,9,8
3,19,3,0.900767914892,0.900767914892,1,0.699144641004,1.11022302463e-16,27,8
3,19,8,0.83455109717,0.83455109717,1,0.97477189659,0,0,8
3,19,64,0.718082775485,0.718082775485,1,1,0,0,8
4,0,1,0,0,,0,0,4,16
4,0,2,0.213385799627,0.180921075226,1.17944136337,0.519298146942,2.77555756156e-16,16,16
4,0,3,0.271865303705,0.247087518627,1.10027938771,0.76461427699,3.33066907388e-16,64,16
4,0,8,0.498438555257,0.496390523324,1.00412584817,0.993346686645,0,0,16
4,0,64,2.13191641912,2.13191641912,1,1,0,0,16
4,1,1,0,0,,0,0,4,16
4,1,2,0.0955054134327,0.0955054134327,1,0.497697929799,5.55111512313e-17,16,16
4,1,3,0.106262009528,0.106262009528,1,0.746546894698,2.22044604925e-16,64,16
4,1,8,0.0830180173579,0.0830180173579,1,0.991168730218,0,0,16
4,1,64,0.0769837550202,0.0769837550202,1,1,0,0,16
4,2,1,0,3.33066907388e-16,,0,0,4,16
4,2,2,0.509049594728,0.401647306048,1.26740447916,0.475315119888,1.11022302463e-16,16,16
4,2,3,0.730773904205,0.612487535195,1.19312453269,0.687648234736,4.4408920985e-16,64,16
4,2,8,1.11865298324,1.06606451138,1.0493295399,0.964117170253,0,0,16
4,2,64,1.77791097788,1.77791097629,1.00000000089,0.999999999997,0,0,16
4,3,1,0,4.99600361081e-16,,0,0,4,16
4,3,2,1.02336070899,0.971725661545,1.05313747438,0.596742436881,4.4408920985e-16,16,16
4,3,3,1.71978289679,1.67594468603,1.02615731362,0.820230865826,6.66133814775e-16,64,16
4,3,8,2.98035775651,2.97508536099,1.00177218294,0.994928193068,0,0,16
4,3,64,3.15126972979,3.15126972979,1,1,0,0,16
4,4,1,0,5.55111512313e-17,,0,0,4,16
4,4,2,0.410926738092,0.324139605877,1.26774615209,0.519804571989,2.77555756156e-16,16,16
4,4,3,0.584942695479,0.4952736977,1.1810493838,0.705392429961,5.55111512313e-16,64,16
4,4,8,0.945397393473,0.920188555639,1.02739529597,0.87688790446,0,0,16
4,4,64,2.14694722244,2.14694722241,1.00000000001,0.999744923179,0,0,16
4,5,1,0,4.4408920985e-16,,0,0,4,16
4,5,2,1.22933895419,1.18100636959,1.04092491442,0.502734256361,2.22044604925e-16,16,16
4,5,3,1.52597733591,1.50395401353,1.01464361422,0.724637262017,6.66133814775e-16,64,16
4,5,8,1.3846430168,1.384542193,1.00007282104,0.979650241022,0,0,16
4,5,64,1.29066808541,1.29066808541,1,1,0,0,16
4,6,1,0,1.11022302463e-16,,0,0,4,16
4,6,2,0.253462346115,0.20809124003,1.21803467594,0.22876336571,5.55111512313e-17,16,16
4,6,3,0.316655856437,0.265941808237,1.19069603436,0.277201298012,1.11022302463e-16,64,16
4,6,8,0.257156820974,0.231521593502,1.11072499582,0.207229626388,0,0,16
4,6,64,2.6286025622e-05,2.62823758703e-05,1.00013886689,1.82326265798e-05,0,0,16
4,7,1,0,2.22044604925e-16,,0,0,4,16
4,7,2,1.17750051456,1.11837886513,1.05286370413,0.549588610614,1.11022302463e-16,16,16
4,7,3,1.809019467,1.77020320296,1.02192757531,0.768452159639,4.4408920985e-16,64,16
4,7,8,2.80303824822,2.8021962104,1.0003004921,0.986313785225,0,0,16
4,7,64,3.26289037406,3.26289037406,1,1,0,0,16
4,8,1,0,2.22044604925e-16,,0,0,4,16
4,8,2,0.01090712333,0.0076968487447,1.41708947282,0.0644217866978,4.16333634234e-16,16,16
4,8,3,0.0185403233263,0.0140229421098,1.32214218536,0.0948026161009,6.10622663544e-16,64,16
4,8,8,0.0710283168301,0.0628331512725,1.13042741597,0.221008121701,0,0,16
4,8,64,0.648626240254,0.647832529596,1.00122517876,0.805369945584,0,0,16
4,9,1,0,1.11022302463e-16,,0,0,4,16
4,9,2,0.291710849984,0.290472776576,1.00426227002,0.215447972405,5.55111512313e-17,16,16
4,9,3,0.435938364681,0.435713571556,1.00051591949,0.319399907452,1.11022302463e-16,64,16
4,9,8,0.881227036534,0.881227024508,1.00000001365,0.6433423777,0,0,16
4,9,64,1.37852359349,1.37852359349,1,0.999738174522,0,0,16
4,10,1,0,1.2490009027e-16,,0,0,4,16
4,10,2,0.105928573066,0.0998213216738,1.0611818326,0.0787412178964,1.80411241502e-16,16,16
4,10,3,0.26074621247,0.247081824089,1.0553030901,0.190602719716,2.49800180541e-16,64,16
4,10,8,1.01777912121,0.987120482503,1.03105865925,0.688433619106,0,0,16
4,10,64,1.71455935258,1.71455398738,1.00000312921,0.999998724045,0,0,16
4,11,1,0,2.22044604925e-16,,0,0,4,16
4,11,2,0.259440234951,0.243082744648,1.06729186116,0.198346222669,4.4408920985e-16,16,16
4,11,3,0.389407994111,0.368324102486,1.0572427693,0.292777492398,7.77156117238e-16,64,16
4,11,8,0.833138394663,0.800734874808,1.04046722689,0.604096887633,0,0,16
4,11,64,1.88876368638,1.88815764002,1.00032097233,0.999396452734,0,0,16
4,12,1,0,0,,0,0,4,16
4,12,2,0.889744214551,0.650818151135,1.36711647178,0.729698174507,2.22044604925e-16,16,16
4,12,3,1.28250485514,1.02747952876,1.2482047761,0.92082800058,4.4408920985e-16,64,16
4,12,8,2.04287977847,1.9566341441,1.04407856963,0.999630441567,0,0,16
4,12,64,2.38680394103,2.38680388979,1.00000002147,1,0,0,16
4,13,1,0,4.4408920985e-16,,0,0,4,16
4,13,2,1.44739304851,1.43715561765,1.00712339758,0.463590070375,4.4408920985e-16,16,16
4,13,3,1.898276579,1.87548324627,1.01215331183,0.696415252785,1.11022302463e-16,64,16
4,13,8,1.57046009644,1.47685537009,1.06338110572,0.975107461706,0,0,16
4,13,64,1.58883008143,1.35244306209,1.17478519131,1,0,0,16
4,14,1,0,1.66533453694e-16,,0,0,4,16
